schema,mongo_query,natural_language_query,additional_info
"{""collections"": [{""name"": ""traffic_incident_reports"", ""document"": {""properties"": {""report_id"": {""bsonType"": ""string"", ""description"": ""Unique identifier for each incident report""}, ""timestamp"": {""bsonType"": ""date"", ""description"": ""Timestamp of when the incident was reported""}, ""location"": {""bsonType"": ""string"", ""description"": ""Description of the incident location""}, ""severity_level"": {""bsonType"": ""int"", ""description"": ""Severity of the incident on a scale from 1 to 5""}, ""vehicles_involved"": {""bsonType"": ""array"", ""items"": {""bsonType"": ""object"", ""properties"": {""vehicle_id"": {""bsonType"": ""string"", ""description"": ""Unique identifier for each vehicle""}, ""make"": {""bsonType"": ""string"", ""description"": ""Make of the vehicle (e.g., Ford, Toyota)""}, ""model"": {""bsonType"": ""string"", ""description"": ""Model of the vehicle""}, ""color"": {""bsonType"": ""string"", ""description"": ""Color of the vehicle""}, ""license_plate"": {""bsonType"": ""string"", ""description"": ""License plate number of the vehicle""}, ""speed"": {""bsonType"": ""double"", ""description"": ""Speed of the vehicle at the time of the incident""}}}}, ""involved_persons"": {""bsonType"": ""array"", ""items"": {""bsonType"": ""object"", ""properties"": {""person_id"": {""bsonType"": ""string"", ""description"": ""Unique identifier for each person involved""}, ""age"": {""bsonType"": ""int"", ""description"": ""Age of the person""}, ""gender"": {""bsonType"": ""string"", ""description"": ""Gender of the person""}, ""appearance"": {""bsonType"": ""string"", ""description"": ""Description of the person's appearance""}}}}, ""description"": {""bsonType"": ""string"", ""description"": ""Narrative description of the incident""}}}}], ""version"": 1}","db.traffic_incident_reports.find({""involved_persons.age"": 25})",Show incidents involving a person of age 25.,na
"{""collections"": [{""name"": ""traffic_incident_reports"", ""document"": {""properties"": {""report_id"": {""bsonType"": ""string"", ""description"": ""Unique identifier for each incident report""}, ""timestamp"": {""bsonType"": ""date"", ""description"": ""Timestamp of when the incident was reported""}, ""location"": {""bsonType"": ""string"", ""description"": ""Description of the incident location""}, ""severity_level"": {""bsonType"": ""int"", ""description"": ""Severity of the incident on a scale from 1 to 5""}, ""vehicles_involved"": {""bsonType"": ""array"", ""items"": {""bsonType"": ""object"", ""properties"": {""vehicle_id"": {""bsonType"": ""string"", ""description"": ""Unique identifier for each vehicle""}, ""make"": {""bsonType"": ""string"", ""description"": ""Make of the vehicle (e.g., Ford, Toyota)""}, ""model"": {""bsonType"": ""string"", ""description"": ""Model of the vehicle""}, ""color"": {""bsonType"": ""string"", ""description"": ""Color of the vehicle""}, ""license_plate"": {""bsonType"": ""string"", ""description"": ""License plate number of the vehicle""}, ""speed"": {""bsonType"": ""double"", ""description"": ""Speed of the vehicle at the time of the incident""}}}}, ""involved_persons"": {""bsonType"": ""array"", ""items"": {""bsonType"": ""object"", ""properties"": {""person_id"": {""bsonType"": ""string"", ""description"": ""Unique identifier for each person involved""}, ""age"": {""bsonType"": ""int"", ""description"": ""Age of the person""}, ""gender"": {""bsonType"": ""string"", ""description"": ""Gender of the person""}, ""appearance"": {""bsonType"": ""string"", ""description"": ""Description of the person's appearance""}}}}, ""description"": {""bsonType"": ""string"", ""description"": ""Narrative description of the incident""}}}}], ""version"": 1}","db.traffic_incident_reports.find({""severity_level"": {""$gt"": 3}})",Find incidents with severity level greater than 3.,na
"{""collections"": [{""name"": ""traffic_incident_reports"", ""document"": {""properties"": {""report_id"": {""bsonType"": ""string"", ""description"": ""Unique identifier for each incident report""}, ""timestamp"": {""bsonType"": ""date"", ""description"": ""Timestamp of when the incident was reported""}, ""location"": {""bsonType"": ""string"", ""description"": ""Description of the incident location""}, ""severity_level"": {""bsonType"": ""int"", ""description"": ""Severity of the incident on a scale from 1 to 5""}, ""vehicles_involved"": {""bsonType"": ""array"", ""items"": {""bsonType"": ""object"", ""properties"": {""vehicle_id"": {""bsonType"": ""string"", ""description"": ""Unique identifier for each vehicle""}, ""make"": {""bsonType"": ""string"", ""description"": ""Make of the vehicle (e.g., Ford, Toyota)""}, ""model"": {""bsonType"": ""string"", ""description"": ""Model of the vehicle""}, ""color"": {""bsonType"": ""string"", ""description"": ""Color of the vehicle""}, ""license_plate"": {""bsonType"": ""string"", ""description"": ""License plate number of the vehicle""}, ""speed"": {""bsonType"": ""double"", ""description"": ""Speed of the vehicle at the time of the incident""}}}}, ""involved_persons"": {""bsonType"": ""array"", ""items"": {""bsonType"": ""object"", ""properties"": {""person_id"": {""bsonType"": ""string"", ""description"": ""Unique identifier for each person involved""}, ""age"": {""bsonType"": ""int"", ""description"": ""Age of the person""}, ""gender"": {""bsonType"": ""string"", ""description"": ""Gender of the person""}, ""appearance"": {""bsonType"": ""string"", ""description"": ""Description of the person's appearance""}}}}, ""description"": {""bsonType"": ""string"", ""description"": ""Narrative description of the incident""}}}}], ""version"": 1}","db.traffic_incident_reports.find({""vehicles_involved.color"": ""red""})",Get all reports of red vehicles involved in incidents.,na
"{""collections"": [{""name"": ""traffic_incident_reports"", ""document"": {""properties"": {""report_id"": {""bsonType"": ""string"", ""description"": ""Unique identifier for each incident report""}, ""timestamp"": {""bsonType"": ""date"", ""description"": ""Timestamp of when the incident was reported""}, ""location"": {""bsonType"": ""string"", ""description"": ""Description of the incident location""}, ""severity_level"": {""bsonType"": ""int"", ""description"": ""Severity of the incident on a scale from 1 to 5""}, ""vehicles_involved"": {""bsonType"": ""array"", ""items"": {""bsonType"": ""object"", ""properties"": {""vehicle_id"": {""bsonType"": ""string"", ""description"": ""Unique identifier for each vehicle""}, ""make"": {""bsonType"": ""string"", ""description"": ""Make of the vehicle (e.g., Ford, Toyota)""}, ""model"": {""bsonType"": ""string"", ""description"": ""Model of the vehicle""}, ""color"": {""bsonType"": ""string"", ""description"": ""Color of the vehicle""}, ""license_plate"": {""bsonType"": ""string"", ""description"": ""License plate number of the vehicle""}, ""speed"": {""bsonType"": ""double"", ""description"": ""Speed of the vehicle at the time of the incident""}}}}, ""involved_persons"": {""bsonType"": ""array"", ""items"": {""bsonType"": ""object"", ""properties"": {""person_id"": {""bsonType"": ""string"", ""description"": ""Unique identifier for each person involved""}, ""age"": {""bsonType"": ""int"", ""description"": ""Age of the person""}, ""gender"": {""bsonType"": ""string"", ""description"": ""Gender of the person""}, ""appearance"": {""bsonType"": ""string"", ""description"": ""Description of the person's appearance""}}}}, ""description"": {""bsonType"": ""string"", ""description"": ""Narrative description of the incident""}}}}], ""version"": 1}","db.traffic_incident_reports.find({""vehicles_involved.speed"": {""$gt"": 100}})",Find incidents where a vehicle was moving at a speed over 100 km/h.,na
"{""collections"": [{""name"": ""traffic_incident_reports"", ""document"": {""properties"": {""report_id"": {""bsonType"": ""string"", ""description"": ""Unique identifier for each incident report""}, ""timestamp"": {""bsonType"": ""date"", ""description"": ""Timestamp of when the incident was reported""}, ""location"": {""bsonType"": ""string"", ""description"": ""Description of the incident location""}, ""severity_level"": {""bsonType"": ""int"", ""description"": ""Severity of the incident on a scale from 1 to 5""}, ""vehicles_involved"": {""bsonType"": ""array"", ""items"": {""bsonType"": ""object"", ""properties"": {""vehicle_id"": {""bsonType"": ""string"", ""description"": ""Unique identifier for each vehicle""}, ""make"": {""bsonType"": ""string"", ""description"": ""Make of the vehicle (e.g., Ford, Toyota)""}, ""model"": {""bsonType"": ""string"", ""description"": ""Model of the vehicle""}, ""color"": {""bsonType"": ""string"", ""description"": ""Color of the vehicle""}, ""license_plate"": {""bsonType"": ""string"", ""description"": ""License plate number of the vehicle""}, ""speed"": {""bsonType"": ""double"", ""description"": ""Speed of the vehicle at the time of the incident""}}}}, ""involved_persons"": {""bsonType"": ""array"", ""items"": {""bsonType"": ""object"", ""properties"": {""person_id"": {""bsonType"": ""string"", ""description"": ""Unique identifier for each person involved""}, ""age"": {""bsonType"": ""int"", ""description"": ""Age of the person""}, ""gender"": {""bsonType"": ""string"", ""description"": ""Gender of the person""}, ""appearance"": {""bsonType"": ""string"", ""description"": ""Description of the person's appearance""}}}}, ""description"": {""bsonType"": ""string"", ""description"": ""Narrative description of the incident""}}}}], ""version"": 1}",db.traffic_incident_reports.find().sort({severity_level: -1}).limit(5),Get the top 5 incidents sorted by severity level.,na
"{""collections"": [{""name"": ""traffic_incident_reports"", ""document"": {""properties"": {""report_id"": {""bsonType"": ""string"", ""description"": ""Unique identifier for each incident report""}, ""timestamp"": {""bsonType"": ""date"", ""description"": ""Timestamp of when the incident was reported""}, ""location"": {""bsonType"": ""string"", ""description"": ""Description of the incident location""}, ""severity_level"": {""bsonType"": ""int"", ""description"": ""Severity of the incident on a scale from 1 to 5""}, ""vehicles_involved"": {""bsonType"": ""array"", ""items"": {""bsonType"": ""object"", ""properties"": {""vehicle_id"": {""bsonType"": ""string"", ""description"": ""Unique identifier for each vehicle""}, ""make"": {""bsonType"": ""string"", ""description"": ""Make of the vehicle (e.g., Ford, Toyota)""}, ""model"": {""bsonType"": ""string"", ""description"": ""Model of the vehicle""}, ""color"": {""bsonType"": ""string"", ""description"": ""Color of the vehicle""}, ""license_plate"": {""bsonType"": ""string"", ""description"": ""License plate number of the vehicle""}, ""speed"": {""bsonType"": ""double"", ""description"": ""Speed of the vehicle at the time of the incident""}}}}, ""involved_persons"": {""bsonType"": ""array"", ""items"": {""bsonType"": ""object"", ""properties"": {""person_id"": {""bsonType"": ""string"", ""description"": ""Unique identifier for each person involved""}, ""age"": {""bsonType"": ""int"", ""description"": ""Age of the person""}, ""gender"": {""bsonType"": ""string"", ""description"": ""Gender of the person""}, ""appearance"": {""bsonType"": ""string"", ""description"": ""Description of the person's appearance""}}}}, ""description"": {""bsonType"": ""string"", ""description"": ""Narrative description of the incident""}}}}], ""version"": 1}","db.traffic_incident_reports.find({""location"": {""$regex"": ""Main St and 2nd Ave""}})",Retrieve incidents that occurred at Main St and 2nd Ave.,na
"{""collections"": [{""name"": ""traffic_incident_reports"", ""document"": {""properties"": {""report_id"": {""bsonType"": ""string"", ""description"": ""Unique identifier for each incident report""}, ""timestamp"": {""bsonType"": ""date"", ""description"": ""Timestamp of when the incident was reported""}, ""location"": {""bsonType"": ""string"", ""description"": ""Description of the incident location""}, ""severity_level"": {""bsonType"": ""int"", ""description"": ""Severity of the incident on a scale from 1 to 5""}, ""vehicles_involved"": {""bsonType"": ""array"", ""items"": {""bsonType"": ""object"", ""properties"": {""vehicle_id"": {""bsonType"": ""string"", ""description"": ""Unique identifier for each vehicle""}, ""make"": {""bsonType"": ""string"", ""description"": ""Make of the vehicle (e.g., Ford, Toyota)""}, ""model"": {""bsonType"": ""string"", ""description"": ""Model of the vehicle""}, ""color"": {""bsonType"": ""string"", ""description"": ""Color of the vehicle""}, ""license_plate"": {""bsonType"": ""string"", ""description"": ""License plate number of the vehicle""}, ""speed"": {""bsonType"": ""double"", ""description"": ""Speed of the vehicle at the time of the incident""}}}}, ""involved_persons"": {""bsonType"": ""array"", ""items"": {""bsonType"": ""object"", ""properties"": {""person_id"": {""bsonType"": ""string"", ""description"": ""Unique identifier for each person involved""}, ""age"": {""bsonType"": ""int"", ""description"": ""Age of the person""}, ""gender"": {""bsonType"": ""string"", ""description"": ""Gender of the person""}, ""appearance"": {""bsonType"": ""string"", ""description"": ""Description of the person's appearance""}}}}, ""description"": {""bsonType"": ""string"", ""description"": ""Narrative description of the incident""}}}}], ""version"": 1}","db.traffic_incident_reports.find({""vehicles_involved"": {""$size"": {""$gt"": 2}}})",Find incidents involving more than two vehicles.,na
"{""collections"": [{""name"": ""traffic_incident_reports"", ""document"": {""properties"": {""report_id"": {""bsonType"": ""string"", ""description"": ""Unique identifier for each incident report""}, ""timestamp"": {""bsonType"": ""date"", ""description"": ""Timestamp of when the incident was reported""}, ""location"": {""bsonType"": ""string"", ""description"": ""Description of the incident location""}, ""severity_level"": {""bsonType"": ""int"", ""description"": ""Severity of the incident on a scale from 1 to 5""}, ""vehicles_involved"": {""bsonType"": ""array"", ""items"": {""bsonType"": ""object"", ""properties"": {""vehicle_id"": {""bsonType"": ""string"", ""description"": ""Unique identifier for each vehicle""}, ""make"": {""bsonType"": ""string"", ""description"": ""Make of the vehicle (e.g., Ford, Toyota)""}, ""model"": {""bsonType"": ""string"", ""description"": ""Model of the vehicle""}, ""color"": {""bsonType"": ""string"", ""description"": ""Color of the vehicle""}, ""license_plate"": {""bsonType"": ""string"", ""description"": ""License plate number of the vehicle""}, ""speed"": {""bsonType"": ""double"", ""description"": ""Speed of the vehicle at the time of the incident""}}}}, ""involved_persons"": {""bsonType"": ""array"", ""items"": {""bsonType"": ""object"", ""properties"": {""person_id"": {""bsonType"": ""string"", ""description"": ""Unique identifier for each person involved""}, ""age"": {""bsonType"": ""int"", ""description"": ""Age of the person""}, ""gender"": {""bsonType"": ""string"", ""description"": ""Gender of the person""}, ""appearance"": {""bsonType"": ""string"", ""description"": ""Description of the person's appearance""}}}}, ""description"": {""bsonType"": ""string"", ""description"": ""Narrative description of the incident""}}}}], ""version"": 1}","db.traffic_incident_reports.find({""vehicles_involved.make"": ""Toyota"", ""severity_level"": {""$gte"": 4}})",Find incidents where the vehicle was a Toyota and the incident was severe.,na
"{""collections"": [{""name"": ""traffic_incident_reports"", ""document"": {""properties"": {""report_id"": {""bsonType"": ""string"", ""description"": ""Unique identifier for each incident report""}, ""timestamp"": {""bsonType"": ""date"", ""description"": ""Timestamp of when the incident was reported""}, ""location"": {""bsonType"": ""string"", ""description"": ""Description of the incident location""}, ""severity_level"": {""bsonType"": ""int"", ""description"": ""Severity of the incident on a scale from 1 to 5""}, ""vehicles_involved"": {""bsonType"": ""array"", ""items"": {""bsonType"": ""object"", ""properties"": {""vehicle_id"": {""bsonType"": ""string"", ""description"": ""Unique identifier for each vehicle""}, ""make"": {""bsonType"": ""string"", ""description"": ""Make of the vehicle (e.g., Ford, Toyota)""}, ""model"": {""bsonType"": ""string"", ""description"": ""Model of the vehicle""}, ""color"": {""bsonType"": ""string"", ""description"": ""Color of the vehicle""}, ""license_plate"": {""bsonType"": ""string"", ""description"": ""License plate number of the vehicle""}, ""speed"": {""bsonType"": ""double"", ""description"": ""Speed of the vehicle at the time of the incident""}}}}, ""involved_persons"": {""bsonType"": ""array"", ""items"": {""bsonType"": ""object"", ""properties"": {""person_id"": {""bsonType"": ""string"", ""description"": ""Unique identifier for each person involved""}, ""age"": {""bsonType"": ""int"", ""description"": ""Age of the person""}, ""gender"": {""bsonType"": ""string"", ""description"": ""Gender of the person""}, ""appearance"": {""bsonType"": ""string"", ""description"": ""Description of the person's appearance""}}}}, ""description"": {""bsonType"": ""string"", ""description"": ""Narrative description of the incident""}}}}], ""version"": 1}","db.traffic_incident_reports.find({""timestamp"": {""$gte"": ISODate('2024-03-01T00:00:00Z'), ""$lt"": ISODate('2024-03-02T00:00:00Z')}})","List incidents reported on March 1, 2024.",timestamp: 2024-03-01T00:00:00Z
"{""collections"": [{""name"": ""traffic_incident_reports"", ""document"": {""properties"": {""report_id"": {""bsonType"": ""string"", ""description"": ""Unique identifier for each incident report""}, ""timestamp"": {""bsonType"": ""date"", ""description"": ""Timestamp of when the incident was reported""}, ""location"": {""bsonType"": ""string"", ""description"": ""Description of the incident location""}, ""severity_level"": {""bsonType"": ""int"", ""description"": ""Severity of the incident on a scale from 1 to 5""}, ""vehicles_involved"": {""bsonType"": ""array"", ""items"": {""bsonType"": ""object"", ""properties"": {""vehicle_id"": {""bsonType"": ""string"", ""description"": ""Unique identifier for each vehicle""}, ""make"": {""bsonType"": ""string"", ""description"": ""Make of the vehicle (e.g., Ford, Toyota)""}, ""model"": {""bsonType"": ""string"", ""description"": ""Model of the vehicle""}, ""color"": {""bsonType"": ""string"", ""description"": ""Color of the vehicle""}, ""license_plate"": {""bsonType"": ""string"", ""description"": ""License plate number of the vehicle""}, ""speed"": {""bsonType"": ""double"", ""description"": ""Speed of the vehicle at the time of the incident""}}}}, ""involved_persons"": {""bsonType"": ""array"", ""items"": {""bsonType"": ""object"", ""properties"": {""person_id"": {""bsonType"": ""string"", ""description"": ""Unique identifier for each person involved""}, ""age"": {""bsonType"": ""int"", ""description"": ""Age of the person""}, ""gender"": {""bsonType"": ""string"", ""description"": ""Gender of the person""}, ""appearance"": {""bsonType"": ""string"", ""description"": ""Description of the person's appearance""}}}}, ""description"": {""bsonType"": ""string"", ""description"": ""Narrative description of the incident""}}}}], ""version"": 1}","db.traffic_incident_reports.find({""timestamp"": {""$gte"": ISODate(""2024-02-01T10:00:00Z""), ""$lt"": ISODate(""2024-02-01T12:00:00Z"")}})",Find reports between 2024-02-01T10:00:00Z and 2024-02-01T12:00:00Z.,between 2024-02-01T10:00:00Z and 2024-02-01T12:00:00Z
